Title,Worldwide_Gross,Release_Date,MPAA_Rating,Major_Genre,Rotten_Tomatoes_Rating,IMDB_Rating
Yes Man,225990976,Dec 19 2008,PG-13,Comedy,43,7
You Kill Me,2426851,Jun 22 2007,R,Black Comedy,78,6.7
"Yours, Mine and Ours",72359917,Nov 23 2005,PG,Comedy,,7.6
You've Got Mail,250800000,Dec 18 1998,PG,Drama,68,6.2
Zathura,58545540,Nov 11 2005,PG,Adventure,75,
Zoolander,60780981,Sep 28 2001,PG-13,Comedy,62,6.4
Zombieland,98690286,Oct 02 2009,R,Comedy,89,7.8
Zack and Miri Make a Porno,36851125,Oct 31 2008,R,Comedy,65,7
Zodiac,83080084,Mar 02 2007,R,Thriller/Suspense,89,
The Legend of Zorro,141475336,Oct 28 2005,PG,Adventure,26,5.7
The Mask of Zorro,233700000,Jul 17 1998,PG-13,Adventure,82,6.7
